// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 1.27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3
// command took 2.64s and exited with 0
// ***** Done, took 00:00:04 (4.03 sec)   *****
// Found 6 benchmarks:
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=15]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=15]
//   ListsBenchmark2.Sum_ByIndex: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Foreach: DefaultJob [N=30]
//   ListsBenchmark2.Sum_Linq: DefaultJob [N=30]

// **************************
// Benchmark: ListsBenchmark2.Sum_ByIndex: DefaultJob [N=15]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2ec7b7b0-5bc2-422f-864a-37b9012102f3.dll" --benchmarkName "Bdn1.ListsBenchmark2.Sum_ByIndex(N: 15)" --job "Default" --benchmarkId 0 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult   1: 67108864 op, 529011886.67 ns, 7.8829 ns/op
WorkloadResult   2: 67108864 op, 527320086.67 ns, 7.8577 ns/op
WorkloadResult   3: 67108864 op, 526597286.67 ns, 7.8469 ns/op
WorkloadResult   4: 67108864 op, 540742686.67 ns, 8.0577 ns/op
WorkloadResult   5: 67108864 op, 528836686.67 ns, 7.8803 ns/op
WorkloadResult   6: 67108864 op, 527340586.67 ns, 7.8580 ns/op
WorkloadResult   7: 67108864 op, 533134786.67 ns, 7.9443 ns/op
WorkloadResult   8: 67108864 op, 529687686.67 ns, 7.8930 ns/op
WorkloadResult   9: 67108864 op, 529357886.67 ns, 7.8880 ns/op
WorkloadResult  10: 67108864 op, 543056386.67 ns, 8.0922 ns/op
WorkloadResult  11: 67108864 op, 530531586.67 ns, 7.9055 ns/op
WorkloadResult  12: 67108864 op, 548691486.67 ns, 8.1761 ns/op
WorkloadResult  13: 67108864 op, 530699286.67 ns, 7.9080 ns/op
WorkloadResult  14: 67108864 op, 538686986.67 ns, 8.0271 ns/op
WorkloadResult  15: 67108864 op, 536809686.67 ns, 7.9991 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 7.9478 ns, StdErr = 0.0257 ns (0.32%); N = 15, StdDev = 0.0997 ns
Min = 7.8469 ns, Q1 = 7.8803 ns, Median = 7.9055 ns, Q3 = 8.0271 ns, Max = 8.1761 ns
IQR = 0.1468 ns, LowerFence = 7.6601 ns, UpperFence = 8.2472 ns
ConfidenceInterval = [7.8412 ns; 8.0543 ns] (CI 99.9%), Margin = 0.1065 ns (1.34% of Mean)
Skewness = 0.9, Kurtosis = 2.46, MValue = 2

// **************************
// Benchmark: ListsBenchmark2.Sum_Foreach: DefaultJob [N=15]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2ec7b7b0-5bc2-422f-864a-37b9012102f3.dll" --benchmarkName "Bdn1.ListsBenchmark2.Sum_Foreach(N: 15)" --job "Default" --benchmarkId 1 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 339800.00 ns, 339.8000 us/op
WorkloadJitting  1: 1 op, 306700.00 ns, 306.7000 us/op

OverheadJitting  2: 16 op, 447500.00 ns, 27.9688 us/op
WorkloadJitting  2: 16 op, 437200.00 ns, 27.3250 us/op

WorkloadPilot    1: 16 op, 1600.00 ns, 100.0000 ns/op
WorkloadPilot    2: 32 op, 700.00 ns, 21.8750 ns/op
WorkloadPilot    3: 64 op, 1100.00 ns, 17.1875 ns/op
WorkloadPilot    4: 128 op, 2000.00 ns, 15.6250 ns/op
WorkloadPilot    5: 256 op, 3100.00 ns, 12.1094 ns/op
WorkloadPilot    6: 512 op, 5100.00 ns, 9.9609 ns/op
WorkloadPilot    7: 1024 op, 8200.00 ns, 8.0078 ns/op
WorkloadPilot    8: 2048 op, 15100.00 ns, 7.3730 ns/op
WorkloadPilot    9: 4096 op, 28200.00 ns, 6.8848 ns/op
WorkloadPilot   10: 8192 op, 57100.00 ns, 6.9702 ns/op
WorkloadPilot   11: 16384 op, 109600.00 ns, 6.6895 ns/op
WorkloadPilot   12: 32768 op, 183300.00 ns, 5.5939 ns/op
WorkloadPilot   13: 65536 op, 391900.00 ns, 5.9799 ns/op
WorkloadPilot   14: 131072 op, 859600.00 ns, 6.5582 ns/op
WorkloadPilot   15: 262144 op, 1493900.00 ns, 5.6988 ns/op
WorkloadPilot   16: 524288 op, 2985100.00 ns, 5.6936 ns/op
WorkloadPilot   17: 1048576 op, 6103700.00 ns, 5.8209 ns/op
WorkloadPilot   18: 2097152 op, 11991300.00 ns, 5.7179 ns/op
WorkloadPilot   19: 4194304 op, 23318300.00 ns, 5.5595 ns/op
WorkloadPilot   20: 8388608 op, 46106700.00 ns, 5.4963 ns/op
WorkloadPilot   21: 16777216 op, 92257400.00 ns, 5.4990 ns/op
WorkloadPilot   22: 33554432 op, 184302500.00 ns, 5.4926 ns/op
WorkloadPilot   23: 67108864 op, 370828900.00 ns, 5.5258 ns/op
WorkloadPilot   24: 134217728 op, 739793400.00 ns, 5.5119 ns/op

OverheadWarmup   1: 134217728 op, 182074100.00 ns, 1.3566 ns/op
OverheadWarmup   2: 134217728 op, 183150300.00 ns, 1.3646 ns/op
OverheadWarmup   3: 134217728 op, 181626300.00 ns, 1.3532 ns/op
OverheadWarmup   4: 134217728 op, 181677800.00 ns, 1.3536 ns/op
OverheadWarmup   5: 134217728 op, 183631800.00 ns, 1.3682 ns/op
OverheadWarmup   6: 134217728 op, 184805400.00 ns, 1.3769 ns/op
OverheadWarmup   7: 134217728 op, 182063900.00 ns, 1.3565 ns/op

OverheadActual   1: 134217728 op, 181964000.00 ns, 1.3557 ns/op
OverheadActual   2: 134217728 op, 182123100.00 ns, 1.3569 ns/op
OverheadActual   3: 134217728 op, 181560400.00 ns, 1.3527 ns/op
OverheadActual   4: 134217728 op, 183384600.00 ns, 1.3663 ns/op
OverheadActual   5: 134217728 op, 182058700.00 ns, 1.3564 ns/op
OverheadActual   6: 134217728 op, 182060600.00 ns, 1.3565 ns/op
OverheadActual   7: 134217728 op, 181989600.00 ns, 1.3559 ns/op
OverheadActual   8: 134217728 op, 182664900.00 ns, 1.3610 ns/op
OverheadActual   9: 134217728 op, 183331900.00 ns, 1.3659 ns/op
OverheadActual  10: 134217728 op, 181959600.00 ns, 1.3557 ns/op
OverheadActual  11: 134217728 op, 182243900.00 ns, 1.3578 ns/op
OverheadActual  12: 134217728 op, 182094300.00 ns, 1.3567 ns/op
OverheadActual  13: 134217728 op, 182067400.00 ns, 1.3565 ns/op
OverheadActual  14: 134217728 op, 182070200.00 ns, 1.3565 ns/op
OverheadActual  15: 134217728 op, 183159800.00 ns, 1.3646 ns/op

WorkloadWarmup   1: 134217728 op, 734578800.00 ns, 5.4730 ns/op
WorkloadWarmup   2: 134217728 op, 738439300.00 ns, 5.5018 ns/op
WorkloadWarmup   3: 134217728 op, 736670800.00 ns, 5.4886 ns/op
WorkloadWarmup   4: 134217728 op, 745899900.00 ns, 5.5574 ns/op
WorkloadWarmup   5: 134217728 op, 769544600.00 ns, 5.7336 ns/op
WorkloadWarmup   6: 134217728 op, 777910800.00 ns, 5.7959 ns/op
WorkloadWarmup   7: 134217728 op, 751369400.00 ns, 5.5981 ns/op

// BeforeActualRun
WorkloadActual   1: 134217728 op, 773538100.00 ns, 5.7633 ns/op
WorkloadActual   2: 134217728 op, 753264500.00 ns, 5.6123 ns/op
WorkloadActual   3: 134217728 op, 751851200.00 ns, 5.6017 ns/op
WorkloadActual   4: 134217728 op, 764815200.00 ns, 5.6983 ns/op
WorkloadActual   5: 134217728 op, 746986100.00 ns, 5.5655 ns/op
WorkloadActual   6: 134217728 op, 744297300.00 ns, 5.5454 ns/op
WorkloadActual   7: 134217728 op, 744322200.00 ns, 5.5456 ns/op
WorkloadActual   8: 134217728 op, 750250000.00 ns, 5.5898 ns/op
WorkloadActual   9: 134217728 op, 756760200.00 ns, 5.6383 ns/op
WorkloadActual  10: 134217728 op, 735521300.00 ns, 5.4801 ns/op
WorkloadActual  11: 134217728 op, 737588500.00 ns, 5.4955 ns/op
WorkloadActual  12: 134217728 op, 740239200.00 ns, 5.5152 ns/op
WorkloadActual  13: 134217728 op, 739891000.00 ns, 5.5126 ns/op
WorkloadActual  14: 134217728 op, 736651200.00 ns, 5.4885 ns/op
WorkloadActual  15: 134217728 op, 738648500.00 ns, 5.5034 ns/op

// AfterActualRun
WorkloadResult   1: 134217728 op, 591222566.67 ns, 4.4050 ns/op
WorkloadResult   2: 134217728 op, 570948966.67 ns, 4.2539 ns/op
WorkloadResult   3: 134217728 op, 569535666.67 ns, 4.2434 ns/op
WorkloadResult   4: 134217728 op, 582499666.67 ns, 4.3400 ns/op
WorkloadResult   5: 134217728 op, 564670566.67 ns, 4.2071 ns/op
WorkloadResult   6: 134217728 op, 561981766.67 ns, 4.1871 ns/op
WorkloadResult   7: 134217728 op, 562006666.67 ns, 4.1873 ns/op
WorkloadResult   8: 134217728 op, 567934466.67 ns, 4.2314 ns/op
WorkloadResult   9: 134217728 op, 574444666.67 ns, 4.2799 ns/op
WorkloadResult  10: 134217728 op, 553205766.67 ns, 4.1217 ns/op
WorkloadResult  11: 134217728 op, 555272966.67 ns, 4.1371 ns/op
WorkloadResult  12: 134217728 op, 557923666.67 ns, 4.1569 ns/op
WorkloadResult  13: 134217728 op, 557575466.67 ns, 4.1543 ns/op
WorkloadResult  14: 134217728 op, 554335666.67 ns, 4.1301 ns/op
WorkloadResult  15: 134217728 op, 556332966.67 ns, 4.1450 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 4.2120 ns, StdErr = 0.0211 ns (0.50%); N = 15, StdDev = 0.0819 ns
Min = 4.1217 ns, Q1 = 4.1450 ns, Median = 4.1873 ns, Q3 = 4.2539 ns, Max = 4.4050 ns
IQR = 0.1089 ns, LowerFence = 3.9817 ns, UpperFence = 4.4172 ns
ConfidenceInterval = [4.1244 ns; 4.2996 ns] (CI 99.9%), Margin = 0.0876 ns (2.08% of Mean)
Skewness = 0.89, Kurtosis = 2.76, MValue = 2

// **************************
// Benchmark: ListsBenchmark2.Sum_Linq: DefaultJob [N=15]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2ec7b7b0-5bc2-422f-864a-37b9012102f3.dll" --benchmarkName "Bdn1.ListsBenchmark2.Sum_Linq(N: 15)" --job "Default" --benchmarkId 2 in C:\Dev\PerformanceMeetup\Bdn1\bin\Release\netcoreapp2.2\2ec7b7b0-5bc2-422f-864a-37b9012102f3\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 661000.00 ns, 661.0000 us/op
WorkloadJitting  1: 1 op, 906800.00 ns, 906.8000 us/op

OverheadJitting  2: 16 op, 427200.00 ns, 26.7000 us/op
WorkloadJitting  2: 16 op, 431900.00 ns, 26.9938 us/op

WorkloadPilot    1: 16 op, 4100.00 ns, 256.2500 ns/op
WorkloadPilot    2: 32 op, 4700.00 ns, 146.8750 ns/op
WorkloadPilot    3: 64 op, 8200.00 ns, 128.1250 ns/op
WorkloadPilot    4: 128 op, 15200.00 ns, 118.7500 ns/op
WorkloadPilot    5: 256 op, 29300.00 ns, 114.4531 ns/op
WorkloadPilot    6: 512 op, 61000.00 ns, 119.1406 ns/op
WorkloadPilot    7: 1024 op, 117100.00 ns, 114.3555 ns/op
WorkloadPilot    8: 2048 op, 229100.00 ns, 111.8652 ns/op
WorkloadPilot    9: 4096 op, 453000.00 ns, 110.5957 ns/op
WorkloadPilot   10: 8192 op, 907500.00 ns, 110.7788 ns/op
WorkloadPilot   11: 16384 op, 1866300.00 ns, 113.9099 ns/op
WorkloadPilot   12: 32768 op, 3656700.00 ns, 111.5936 ns/op
WorkloadPilot   13: 65536 op, 7430800.00 ns, 113.3850 ns/op
WorkloadPilot   14: 131072 op, 14730500.00 ns, 112.3848 ns/op
WorkloadPilot   15: 262144 op, 29222600.00 ns, 111.4754 ns/op
WorkloadPilot   16: 524288 op, 56264600.00 ns, 107.3162 ns/op
WorkloadPilot   17: 1048576 op, 113706800.00 ns, 108.4393 ns/op
WorkloadPilot   18: 2097152 op, 224435200.00 ns, 107.0190 ns/op
WorkloadPilot   19: 4194304 op, 449069200.00 ns, 107.0664 ns/op
WorkloadPilot   20: 8388608 op, 931952400.00 ns, 111.0974 ns/op

OverheadWarmup   1: 8388608 op, 11807400.00 ns, 1.4076 ns/op
OverheadWarmup   2: 8388608 op, 11564600.00 ns, 1.3786 ns/op
OverheadWarmup   3: 8388608 op, 11570400.00 ns, 1.3793 ns/op
OverheadWarmup   4: 8388608 op, 11521600.00 ns, 1.3735 ns/op
OverheadWarmup   5: 8388608 op, 11598100.00 ns, 1.3826 ns/op
OverheadWarmup   6: 8388608 op, 11541800.00 ns, 1.3759 ns/op

OverheadActual   1: 8388608 op, 11522400.00 ns, 1.3736 ns/op
OverheadActual   2: 8388608 op, 11528000.00 ns, 1.3742 ns/op
OverheadActual   3: 8388608 op, 11590100.00 ns, 1.3816 ns/op
OverheadActual   4: 8388608 op, 11932400.00 ns, 1.4225 ns/op
OverheadActual   5: 8388608 op, 11692100.00 ns, 1.3938 ns/op
OverheadActual   6: 8388608 op, 11585100.00 ns, 1.3811 ns/op
OverheadActual   7: 8388608 op, 11522700.00 ns, 1.3736 ns/op
OverheadActual   8: 8388608 op, 11533500.00 ns, 1.3749 ns/op
OverheadActual   9: 8388608 op, 11519700.00 ns, 1.3733 ns/op
OverheadActual  10: 8388608 op, 11555900.00 ns, 1.3776 ns/op
OverheadActual  11: 8388608 op, 11530900.00 ns, 1.3746 ns/op
OverheadActual  12: 8388608 op, 11518400.00 ns, 1.3731 ns/op
OverheadActual  13: 8388608 op, 11527500.00 ns, 1.3742 ns/op
OverheadActual  14: 8388608 op, 11612900.00 ns, 1.3844 ns/op
OverheadActual  15: 8388608 op, 11539400.00 ns, 1.3756 ns/op

WorkloadWarmup   1: 8388608 op, 933222200.00 ns, 111.2488 ns/op
WorkloadWarmup   2: 8388608 op, 908944900.00 ns, 108.3547 ns/op
WorkloadWarmup   3: 8388608 op, 903299900.00 ns, 107.6817 ns/op
WorkloadWarmup   4: 8388608 op, 901000900.00 ns, 107.4077 ns/op
WorkloadWarmup   5: 8388608 op, 974060700.00 ns, 116.1171 ns/op
WorkloadWarmup   6: 8388608 op, 903153200.00 ns, 107.6643 ns/op
WorkloadWarmup   7: 8388608 op, 946902800.00 ns, 112.8796 ns/op
WorkloadWarmup   8: 8388608 op, 909356700.00 ns, 108.4038 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 954103600.00 ns, 113.7380 ns/op
WorkloadActual   2: 8388608 op, 942214100.00 ns, 112.3207 ns/op
WorkloadActual   3: 8388608 op, 910951800.00 ns, 108.5939 ns/op
WorkloadActual   4: 8388608 op, 988935800.00 ns, 117.8903 ns/op
WorkloadActual   5: 8388608 op, 952369900.00 ns, 113.5313 ns/op
WorkloadActual   6: 8388608 op, 1004857200.00 ns, 119.7883 ns/op
WorkloadActual   7: 8388608 op, 959060000.00 ns, 114.3289 ns/op
WorkloadActual   8: 8388608 op, 954823700.00 ns, 113.8239 ns/op
WorkloadActual   9: 8388608 op, 910254700.00 ns, 108.5108 ns/op
WorkloadActual  10: 8388608 op, 926941500.00 ns, 110.5000 ns/op
WorkloadActual  11: 8388608 op, 910316000.00 ns, 108.5181 ns/op
WorkloadActual  12: 8388608 op, 912312100.00 ns, 108.7561 ns/op
WorkloadActual  13: 8388608 op, 1007251000.00 ns, 120.0737 ns/op
WorkloadActual  14: 8388608 op, 930627700.00 ns, 110.9395 ns/op
WorkloadActual  15: 8388608 op, 920542800.00 ns, 109.7373 ns/op
WorkloadActual  16: 8388608 op, 921428400.00 ns, 109.8428 ns/op
WorkloadActual  17: 8388608 op, 913173100.00 ns, 108.8587 ns/op
WorkloadActual  18: 8388608 op, 904118200.00 ns, 107.7793 ns/op
WorkloadActual  19: 8388608 op, 921922500.00 ns, 109.9017 ns/op
WorkloadActual  20: 8388608 op, 913970300.00 ns, 108.9538 ns/op
WorkloadActual  21: 8388608 op, 904736800.00 ns, 107.8530 ns/op
WorkloadActual  22: 8388608 op, 924716800.00 ns, 110.2348 ns/op
WorkloadActual  23: 8388608 op, 939835200.00 ns, 112.0371 ns/op
WorkloadActual  24: 8388608 op, 920089900.00 ns, 109.6833 ns/op
WorkloadActual  25: 8388608 op, 915890800.00 ns, 109.1827 ns/op
WorkloadActual  26: 8388608 op, 904627300.00 ns, 107.8400 ns/op
WorkloadActual  27: 8388608 op, 914381400.00 ns, 109.0028 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 942522866.67 ns, 112.3575 ns/op
WorkloadResult   2: 8388608 op, 930633366.67 ns, 110.9401 ns/op
WorkloadResult   3: 8388608 op, 899371066.67 ns, 107.2134 ns/op
WorkloadResult   4: 8388608 op, 977355066.67 ns, 116.5098 ns/op
WorkloadResult   5: 8388608 op, 940789166.67 ns, 112.1508 ns/op
WorkloadResult   6: 8388608 op, 993276466.67 ns, 118.4078 ns/op
WorkloadResult   7: 8388608 op, 947479266.67 ns, 112.9483 ns/op
WorkloadResult   8: 8388608 op, 943242966.67 ns, 112.4433 ns/op
WorkloadResult   9: 8388608 op, 898673966.67 ns, 107.1303 ns/op
WorkloadResult  10: 8388608 op, 915360766.67 ns, 109.1195 ns/op
WorkloadResult  11: 8388608 op, 898735266.67 ns, 107.1376 ns/op
WorkloadResult  12: 8388608 op, 900731366.67 ns, 107.3755 ns/op
WorkloadResult  13: 8388608 op, 995670266.67 ns, 118.6931 ns/op
WorkloadResult  14: 8388608 op, 919046966.67 ns, 109.5589 ns/op
WorkloadResult  15: 8388608 op, 908962066.67 ns, 108.3567 ns/op
WorkloadResult  16: 8388608 op, 909847666.67 ns, 108.4623 ns/op
WorkloadResult  17: 8388608 op, 901592366.67 ns, 107.4782 ns/op
WorkloadResult  18: 8388608 op, 892537466.67 ns, 106.3988 ns/op
WorkloadResult  19: 8388608 op, 910341766.67 ns, 108.5212 ns/op
WorkloadResult  20: 8388608 op, 902389566.67 ns, 107.5732 ns/op
WorkloadResult  21: 8388608 op, 893156066.67 ns, 106.4725 ns/op
WorkloadResult  22: 8388608 op, 913136066.67 ns, 108.8543 ns/op
WorkloadResult  23: 8388608 op, 928254466.67 ns, 110.6566 ns/op
WorkloadResult  24: 8388608 op, 908509166.67 ns, 108.3027 ns/op
WorkloadResult  25: 8388608 op, 904310066.67 ns, 107.8022 ns/op
WorkloadResult  26: 8388608 op, 893046566.67 ns, 106.4594 ns/op
WorkloadResult  27: 8388608 op, 902800666.67 ns, 107.6222 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 109.8128 ns, StdErr = 0.6731 ns (0.61%); N = 27, StdDev = 3.4974 ns
Min = 106.3988 ns, Q1 = 107.3755 ns, Median = 108.4623 ns, Q3 = 112.1508 ns, Max = 118.6931 ns
IQR = 4.7753 ns, LowerFence = 100.2127 ns, UpperFence = 119.3137 ns
